hurt, hurt, hurt|причинить боль|[hɜːt] [hɜːt] [hɜːt]
inlay, inlaid, inlaid|выстилать|[ˈɪnleɪ] [ɪnˈleɪd] [ɪnˈleɪd]
interbreed, interbred, interbred|скрещивать|[ˌɪn.təˈbriːd] [ˌɪn.təˈbreːd] [ˌɪn.təˈbreːd]
keep, kept, kept|держать|[kiːp] [kɛpt] [kɛpt]
kneel, knelt, kneeled|преклонять|[niːl] [nɛlt] [niːld]
knit, knitted, knit|вязать|[nɪt] [nɪtɪd] [nɪt]
know, knew, known|знать|[nəʊ] [njuː] [nəʊn]
lay, laid, laid|уложить|[leɪ] [leɪd] [leɪd]
lead, led, led|вести|[liːd] [led] [led]
lean, leant, leaned|опираться|[liːn] [lent] [liːn]
leap, leaped, leapt|прыгать|[liːp] [liːp] [lept]
learn, learned, learned|учиться|[lɜːn] [ˈlɜː.nɪd] [ˈlɜː.nɪd]
leave, left, left|оставлять|[liːv] [left] [left]
lend, lent, lent|давать в долг|[lend] [lent] [lent]
let, let, let|позволять|[let] [let] [let]
lie, lay, lain|лежать|[laɪ] [leɪ] [leɪn]
lie, lied, lied|лгать|[laɪ] [laɪ] [laɪ]
light, lit, lit|освещать|[laɪt] [lɪt] [lɪt]
lose, lost, lost|терять|[luːz] [lɒst] [lɒst]
make, made, made|изготовлять|[meɪk] [meɪd] [meɪd]
may, might|быть возможным|[meɪ] [maɪt]
mean, meant, meant|подразумевать|[miːn] [ment] [ment]
meet, met, met|встречать|[miːt] [met] [met]
mishear, misheard, misheard|ослышаться|[ˌmɪsˈhɪər] [ˌmɪsˈhɪər] [ˌmɪsˈhɪər]
mislay, mislaid, mislaid|затерять|[ˌmɪsˈleɪ] [ˌmɪsˈleɪ] [ˌmɪsˈleɪ]
mistake, mistook, mistaken|ошибаться|[mɪˈsteɪk] [mɪˈsteɪk] [mɪˈsteɪkən]
mow, mowed, mown|косить|[məʊ] [məʊd] [məʊn]
overtake, overtook, overtaken|догнать|[ˌəʊ.vəˈteɪk] [ˌəʊ.vəˈtʊk] [ˌəʊvəˈteɪkən]
outdo, outdid, outdone|превосходить|[ˌaʊtˈduː] [aʊtˈdɪd] [aʊtˈdʌn]
pay, paid, paid|платить|[peɪ] [peɪd] [peɪd]
prove, proved, proven|доказывать|[pruːv] [pruːvd] [ˈpruːvən]
put, put, put|класть|[pʊt] [pʊt] [pʊt]
read, read , read|читать|[riːd] [riːd] [riːd]
rebuild, rebuilt, rebuilt|перестраивать|[ˌriːˈbɪld] [ˌriːˈbɪlt] [ˌriːˈbɪlt]
rid, rid, rid|избавлять|[rɪd] [rɪd] [rɪd]
ride, rode, ridden|ехать верхом|[raɪd] [rəʊd] [ˈrɪd.ən]
ring, rang, rung|звонить|[rɪŋ] [ræŋ] [rʌŋ]
rise, rose, risen|подниматься|[raɪz] [rəʊz] [ˈrɪzn]
run, ran, run|бежать|[rʌn] [ræn] [rʌn]
saw, sawed, sawn|пилить|[sɔː] [sɔːd] [sɔːn]
say, said, said|говорить|[seɪ] [sed] [sed]
see, saw, seen|видеть|[siː] [sɔː] [siːn]
seek, sought, sought|искать|[siːk] [sɔːt] [sɔːt]
sell, sold, sold|продавать|[sel] [səʊld] [səʊld]
send, sent, sent|посылать|[send] [sent] [sent]
set, set, set|задавать|[set] [set] [set]
sew, sewed, sewed|шить|[səʊ] [səʊd] [səʊd]
shake, shook, shaken|трясти|[ʃeɪk] [ʃʊk] [ˈʃeɪkən]
shave, shaved, shaved|брить(ся)|[ʃeɪv] [ʃeɪvd] [ʃeɪvd]
shear, sheared, shorn|стричь|[ʃɪər] [ʃɪəd] [ʃɔːn]
shed, shed, shed|проливать|[ʃed] [ʃed] [ʃed]
shine, shone, shone|сиять|[ʃaɪn] [ʃɒn] [ʃɒn]
shoe, shod, shod|обувать|[ʃuː] [ʃɒd] [ʃɒd]
shoot, shot, shot|стрелять|[ʃuːt] [ʃɒt] [ʃɒt]
show, showed, showed|показывать|[ʃəʊ] [ʃəʊd] [ʃəʊd]
shrink, shrank , shrunk|сокращаться|[ʃrɪŋk] [ʃræŋk] [ʃrʌŋk]
shut, shut, shut|закрывать|[ʃʌt] [ʃʌt] [ʃʌt]
sing, sang, sung|петь|[sɪŋ] [sæŋ] [sʌŋ]
sink, sank, sunk|тонуть|[sɪŋk] [sæŋk] [sʌŋk]
sit, sat, sat|сидеть|[sɪt] [sæt] [sæt]
slay, slew, slain|убивать|[sleɪ] [sluː] [sleɪn]
sleep, slept, slept|спать|[sliːp] [slept] [slept]
slide, slid, slid|скользить|[slaɪd] [slɪd] [slɪd]
sling, slung, slung|швырять|[slɪŋ] [slʌŋ] [slʌŋ]
slit, slit, slit|делать разрез|[slɪt] [slɪt] [slɪt]
smell, smelt, smelled|пахнуть|[smel] [smelt] [smeld]
sow, sowed, sown|сеять|[səʊ] [səʊd] [səʊn]
speak, spoke, spoken|говорить|[spiːk] [spəʊk] [ˈspəʊkən]
speed, sped , sped|спешить|[spiːd] [sped] [sped]
spell, spelt , spelt|заговаривать|[spel] [spelt] [spelt]
spend, spent, spent|тратить|[spend] [spent] [spent]
spill, spilt, spilt|проливать|[spɪl] [spɪlt] [spɪlt]
spin, spun, spun|прясть|[spɪn] [spʌn] [spʌn]
spit, spat, spat|плевать|[spɪt] [spæt] [spæt]
split, split, split|расщеплять|[splɪt] [splɪt] [splɪt]
spoil, spoilt , spoiled|портить|[spɔɪl] [spɔɪlt] [spɔɪld]
spread, spread, spread|распространяться|[spred] [spred] [spred]
spring, sprang, sprung|возникать|[sprɪŋ] [spræŋ] [sprʌŋ]
stand, stood, stood|стоять|[stænd] [stʊd] [stʊd]
steal, stole, stolen|воровать|[stiːl] [stəʊl] [ˈstəʊ.lən]
