addition|сложение|[əˈdɪʃn]
pencil|карандаш|[ˈpensl]
pencil sharpener|точилка|[ˈpensl] [ˈʃɑː.pən.ər]
percent|процент|[pəˈsent]
perpendicular|перпендикуляр|[ˌpɜː.pənˈdɪk.jʊ.lər]
physics|физика|[ˈfɪzɪks]
plus|плюс|[plʌs]
pocket edition|карманное издание|[ˈpɒkɪt] [ɪˈdɪʃn]
poem|стихотворение|[ˈpəʊɪm]
poetry|поэзия|[ˈpəʊətri]
preface|предисловие|[ˈpref.ɪs]
Primary School|начальная школа|[ˈpraɪməri] [skuːl]
principal, headmaster|директор|[ˈprɪn.sɪ.pəl] [ˌhedˈmɑː.stər]
problem|задача|[ˈprɒbləm]
professor|профессор|[prəˈfesə(r)]
prologue|пролог|[ˈprəʊ.lɒɡ]
prose|проза|[prəʊz]
psychology|психология|[saɪˈkɒl.ə.dʒi]
pupil|ученик|[ˈpjuːpl]
quotient|частное (при делении)|[ˈkwəʊ.ʃənt]
reference book|справочник|[ˈrefrəns] [bʊk]
register|регистр|[ˈredʒɪstə(r)]
remainder|остаток|[rɪˈmeɪn.dər]
rhyme|рифма|[raɪm]
right angle|прямой угол|[raɪt] [ˈæŋɡl]
ruler|линейка|[ˈruːlə(r)]
saga|сага|[ˈsɑː.ɡə]
satire|сатира|[ˈsæt.aɪər]
school|школа|[skuːl]
science fiction|научная фантастика|[ˈsaɪəns] [ˈfɪk.ʃən]
scissors|ножницы|[ˈsɪzəz]
series of numbers|ряд чисел|[ˈsɪəriːz] [əv] [ˈnʌm.bər]
sociology|социология|[ˌsəʊ.siˈɒl.ə.dʒi]
sonnet|сонет|[ˈsɒn.ɪt]
sophomore|второкурсник|[ˈsɒf.ə.mɔːr]
square brackets|квадратные скобки|[skweə(r)] [ˈbræk.ɪt]
square root of|корень квадратный из|skweə(r)] [ruːt] [əv]
stapler|степлер|[ˈsteɪ.plər]
story|рассказ|[ˈstɔːri]
student|студент|[ˈstjuːdnt]
subtraction|вычитание|[səbˈtræk.ʃən]
sum|сумма|[sʌm]
table|стол; таблица|[ˈteɪbl]
teacher|преподаватель|[ˈtiːtʃə(r)]
technical literature|техническая литература|[ˈteknɪkl] [ˈlɪtrətʃə(r)]
term, semester|четверть; семестр|[tɜːm] [sɪˈmes.tər]
test|тест|[test]
text|текст|[tekst]
textbook|учебник|[ˈtekst.bʊk]
title|заглавие|[ˈtaɪtl]
transfer|перевод, передача|[trænsˈfɜː(r)]
translation|перевод|[trænsˈleɪʃn]
university|университет|[ˌjuːnɪˈvɜːsəti]
volume|том|[ˈvɒljuːm]
writer|писатель|[ˈraɪtə(r)]
